Asic,Accounting/Finance,Age-Derived,All-Positions,Arizona State University,Avg. Tenure (before SanDisk),Job Hop,California State University,Computers,Degree Level,Degree Progam Rollup,Design,Director-VP-Mgmt,Engineer Type 1,Engineer Type,Engineer,Firmware,Gender,India,Indian Institute of Technology,Israel,Marketing/Sales,Number of Records,Other 1,Other 2,Other,Position level,Predict2,San Jose State University,SanDisk Position Change (from prior role),SanDisk Position,SanDisk Tenure,Santa Clara University,Software,Stanford University,Systems,Technion - Israel Institute of Technology,Total Experience,Total Other Job Experience,Total Other Jobs,Total SanDisk Jobs,Total SanDisk and Other Jobs,USA,USC,University Region,University of California,University of Illinois,University,Year,Id,Rf
0,0,47,Other,0,5.087671233,4-5,0,0,Missing,Other,0,0,Other,Other,0,0,Men,0,0,0,0,1,1,1,1,Management,High,0,No Change,Other,3.04109589,0,0,0,0,0,34,30.5260274,6,2,8,0,0,EMEA,0,0,Other,2012,183147,0.568705401
0,0,31,Other,0,1.38630137,1-2,0,0,Missing,Other,0,0,Other,Other,0,0,Men,0,0,0,0,1,1,1,1,Management,High,0,No Change,Other,1.084931507,0,0,0,0,0,12,11.09041096,8,1,9,0,0,Unknown,0,0,Other,2012,181929,0.672272166
0,0,48,Marketing/Sales,0,2.460958904,2-3,0,0,Bachelors,Business,0,0,USA,Other,0,0,Men,0,0,0,1,1,1,0,0,IC,High,0,No Change,Marketing/Sales,1.161643836,0,0,0,0,0,21,19.68767123,8,1,9,1,0,Americas,0,0,Other,2012,183088,0.714868174
0,0,42,Marketing/Sales,0,2.737442922,2-3,0,0,Bachelors,Business,0,0,USA,Other,0,0,Men,0,0,0,1,1,1,0,0,Management,High,0,No Change,Marketing/Sales,1.252054795,0,0,0,0,0,18,16.42465753,6,1,7,1,0,Americas,0,0,Other,2012,183612,0.648886122
0,0,35,Computers,0,0.252054795,0-1,1,1,Bachelors,Computers,0,0,USA,Other,0,0,Men,0,0,0,0,1,1,0,0,IC,High,0,No Change,IT,0.167123288,0,0,0,0,0,0,0.252054795,1,1,2,1,0,Americas,0,0,California State University,2012,181624,0.730737275
0,0,40,Marketing/Sales,0,2.06183953,2-3,0,0,Bachelors,Computers,0,0,USA,Other,0,0,Men,0,0,0,1,1,1,0,0,Management,High,0,No Change,Marketing/Sales,1.832876712,0,0,0,0,0,16,14.43287671,7,1,8,1,0,Americas,0,0,Other,2012,189663,0.624664863
0,0,24,Other,0,1.731506849,1-2,0,0,Bachelors,Engineering,0,0,USA,Other,0,0,Men,0,0,0,0,1,1,0,1,IC,High,0,No Change,Other,1.58630137,0,0,0,0,0,9,6.926027397,4,1,5,1,0,Americas,0,0,Other,2012,183225,0.547825005
0,0,29,Other,0,2.08,2-3,0,0,Bachelors,Engineering,0,0,USA,Other,0,0,Men,0,0,0,0,1,1,0,1,IC,High,0,No Change,Other,0,0,0,0,0,0,8,8,5,1,5,1,0,Americas,0,0,Other,2012,11062,0.807643818
0,0,46,Other,0,2.765296804,2-3,0,0,Bachelors,Other,0,0,USA,Other,0,0,Men,0,0,0,0,1,1,0,1,Director,High,0,No Change,Other,2.917808219,0,0,0,0,0,20,16.59178082,6,1,7,1,0,Americas,0,0,Other,2012,181637,0.545319358
0,0,62,Marketing/Sales,0,5.037808219,4-5,0,0,Bachelors,Other,0,0,USA,Other,0,0,Men,0,0,0,1,1,1,0,0,IC,High,0,No Change,Marketing/Sales,0.832876712,0,0,0,0,0,26,25.1890411,5,1,6,1,0,Americas,0,0,Other,2012,11072,0.687306051
0,0,22,Other,0,0,0-1,0,0,Bachelors,Other,0,0,USA,Other,0,0,Men,0,0,0,0,1,1,0,1,IC,High,0,No Change,Other,3.668493151,0,0,0,0,0,4,0,0,1,1,1,0,Americas,0,0,Other,2012,181694,0.510240292
0,0,27,Other,0,0,0-1,0,0,Bachelors,Other,0,0,USA,Other,0,0,Men,0,0,0,0,1,1,0,1,IC,High,0,No Change,Other,3.002739726,0,0,0,0,0,3,0,0,1,1,1,0,Americas,0,0,Other,2012,182221,0.572881480
0,0,25,Other,0,0.252054795,0-1,0,0,Bachelors,Other,0,0,USA,Other,0,0,Men,0,0,0,0,1,1,0,1,IC,High,0,No Change,Other,0.915068493,0,0,0,0,0,1,0.504109589,2,1,3,1,0,Americas,1,0,University of California,2012,183003,0.709856879
0,0,35,Other,0,3.461643836,3-4,0,0,Bachelors,Other,0,0,USA,Other,0,0,Men,0,0,0,0,1,1,0,1,IC,High,0,No Change,Other,0.252054795,0,0,0,0,0,14,13.84657534,4,1,5,1,0,Americas,1,0,University of California,2012,182818,0.617983136
0,0,39,Other,0,1.778082192,1-2,0,0,Bachelors,Other,0,0,USA,Other,0,0,Men,0,0,0,0,1,1,0,1,IC,High,0,No Change,Other,2.167123288,0,0,0,0,0,13,10.66849315,6,1,7,1,0,Americas,0,0,Other,2012,181822,0.604619682
0,0,39,Other,0,1.778082192,1-2,0,0,Bachelors,Other,0,0,USA,Other,0,0,Men,0,0,0,0,1,1,0,1,IC,High,0,No Change,Other,2.167123288,0,0,0,0,0,13,10.66849315,6,1,7,1,0,Americas,0,0,Other,2012,181822,0.605454898
0,0,31,Marketing/Sales,0,2.057534247,2-3,0,0,Bachelors,Other,0,0,USA,Other,0,0,Men,0,0,0,1,1,1,0,0,Management,High,0,No Change,Marketing/Sales,1.084931507,0,0,0,0,0,7,6.17260274,3,1,4,1,0,Americas,0,0,Other,2012,182582,0.611301409
0,0,36,Marketing/Sales,0,2.084931507,2-3,0,0,Bachelors,Other,0,0,USA,Other,0,0,Men,0,0,0,1,1,1,0,0,Management,High,0,No Change,Marketing/Sales,4.545205479,0,0,0,0,0,9,4.169863014,2,2,4,1,0,Americas,1,0,University of California,2012,183758,0.584574502
0,0,42,Other,0,3.335616438,3-4,0,0,Doctorate,Other,0,0,USA,Other,0,0,Men,0,0,0,0,1,1,0,1,VP,High,0,No Change,Other,1.665753425,0,0,1,0,0,22,20.01369863,6,1,7,1,0,Americas,0,0,Stanford University,2012,10954,0.576222344
0,0,26,Other,0,1.002054795,1-2,0,0,Masters,Business,0,0,USA,Other,0,0,Men,0,0,0,0,1,1,0,1,IC,High,0,No Change,Other,1.583561644,1,0,0,0,0,6,4.008219178,4,1,5,1,0,Americas,0,0,Santa Clara University,2012,11252,0.602949251
0,0,29,Other,0,2.277625571,2-3,0,0,Masters,Computers,0,0,USA,Other,0,0,Men,0,0,0,0,1,1,0,1,Director,High,0,No Change,Other,1.169863014,0,0,0,0,0,8,6.832876712,3,1,4,1,0,Americas,0,0,Other,2012,186177,0.582904071
0,0,26,Computers,0,0.917808219,0-1,0,1,Masters,Computers,0,0,USA,Other,0,0,Men,0,0,0,0,1,1,0,0,IC,High,0,No Change,IT,1.580821918,0,0,0,0,0,5,3.671232877,4,1,5,1,0,Americas,0,0,Other,2012,181593,0.607960546
0,0,35,Computers,0,1.528310502,1-2,0,1,Masters,Computers,0,0,USA,Other,0,0,Men,0,0,0,0,1,1,0,0,IC,High,0,No Change,IT,1.254794521,0,0,0,0,0,10,9.169863014,6,1,7,1,0,Americas,0,0,Other,2012,190500,0.675613029
0,0,37,Marketing/Sales,1,2.485479452,2-3,0,0,Masters,Engineering,0,0,USA,Other,0,0,Men,0,0,0,1,1,1,0,0,Director,High,0,No Change,Marketing/Sales,2.416438356,0,0,0,0,0,15,12.42739726,5,1,6,1,0,Americas,0,0,Arizona State University,2012,183776,0.539472847
0,0,26,Computers,0,3.169863014,3-4,0,1,Masters,Engineering,0,0,USA,Other,0,0,Men,0,0,0,0,1,1,0,0,IC,High,0,No Change,IT,1.498630137,0,0,0,0,0,5,3.169863014,1,1,2,1,0,Americas,0,0,Other,2012,194739,0.509405076
0,0,24,Marketing/Sales,0,0.665753425,0-1,0,0,Masters,Engineering,0,0,USA,Other,0,0,Men,0,0,0,1,1,1,0,0,IC,High,0,No Change,Marketing/Sales,2.084931507,0,0,0,0,0,3,0.665753425,1,1,2,1,0,Americas,1,0,University of California,2012,182965,0.577892776
0,0,26,Other,0,1.961643836,1-2,0,0,Masters,Engineering,0,0,USA,Other,0,0,Men,0,0,0,0,1,1,0,1,IC,High,0,No Change,Other,2.917808219,0,0,0,0,0,7,3.923287671,2,2,4,1,0,Americas,0,0,Other,2012,183000,0.556177164
0,0,35,Engineer-Other,0,1.688356164,1-2,0,0,Masters,Engineering,0,0,USA,Other,1,0,Men,0,0,0,0,1,1,0,0,Management,High,0,No Change,Engineer,0,0,0,0,0,0,14,13.50684932,8,1,8,1,0,Americas,0,0,Other,2012,183485,0.739646244
0,0,44,Marketing/Sales,0,3.686575342,3-4,0,0,Masters,Engineering,0,0,USA,Other,0,0,Men,0,0,0,1,1,1,0,0,VP,High,0,No Change,Marketing/Sales,0.580821918,0,0,0,0,0,19,18.43287671,5,1,6,1,1,Americas,0,0,USC,2012,183532,0.658908712
0,0,44,Marketing/Sales,0,4.608219178,4-5,0,0,Masters,Engineering,0,0,USA,Other,0,0,Men,0,0,0,1,1,1,0,0,VP,High,0,No Change,Marketing/Sales,2.290410959,0,0,0,0,0,21,18.43287671,4,2,6,1,1,Americas,0,0,USC,2012,183532,0.658073496
0,0,23,Engineer-Design,0,1.126027397,1-2,0,0,Masters,Other,1,0,USA,Design,1,0,Men,0,0,0,0,1,0,0,0,IC,High,0,No Change,Engineer,0,0,0,0,0,0,2,2.252054795,2,1,2,1,1,Americas,0,0,USC,2012,10643,0.737419001
0,0,61,Other,0,5.063405088,4-5,0,0,Missing,Engineering,0,0,USA,Other,0,0,Men,0,0,0,0,1,1,0,1,Management,High,0,No Change,Other,0.504109589,0,0,0,0,0,36,35.44383562,7,1,8,1,0,Americas,0,0,Other,2012,183770,0.703175152
0,0,44,Other,0,4.975342466,4-5,0,0,Missing,Other,0,0,USA,Other,0,0,Men,0,0,0,0,1,1,0,1,Director,High,0,No Change,Other,1.167123288,0,0,0,0,0,16,14.9260274,3,1,4,1,0,Americas,0,0,Other,2012,183496,0.535296768
0,1,56,Accounting/Finance,0,2.988649706,2-3,0,0,Missing,Other,0,0,USA,Other,0,0,Men,0,0,0,0,1,1,0,0,IC,High,0,No Change,Finance,2.087671233,0,0,0,0,0,23,20.92054795,7,1,8,1,0,Americas,0,0,Other,2012,11345,0.674777813
0,0,26,Computers,0,2.665753425,2-3,0,1,Missing,Other,0,0,USA,Other,0,0,Men,0,0,0,0,1,1,0,0,IC,High,0,No Change,IT,0.838356164,0,0,0,0,0,6,5.331506849,2,1,3,1,0,Americas,0,0,Other,2012,189519,0.554506732
0,0,51,Other,0,2.252054795,2-3,0,0,Missing,Other,0,0,USA,Other,0,0,Men,0,0,0,0,1,1,0,1,IC,High,0,No Change,Other,0.665753425,0,0,0,0,0,3,2.252054795,1,1,2,1,0,Americas,0,0,Other,2012,189826,0.728231627
0,0,23,Other,0,5.334246575,4-5,0,0,Missing,Other,0,0,USA,Other,0,0,Men,0,0,0,0,1,1,0,1,IC,High,0,No Change,Other,2.457534247,0,0,0,0,0,8,5.334246575,1,2,3,1,0,Americas,0,0,Other,2012,11074,0.562023675
0,0,39,Marketing/Sales,0,1.814726027,1-2,0,0,Missing,Other,0,0,USA,Other,0,0,Men,0,0,0,1,1,1,0,0,Management,High,0,No Change,Marketing/Sales,1,0,0,0,0,0,16,14.51780822,8,1,9,1,0,Americas,0,0,Other,2012,183528,0.705680799
0,0,39,Marketing/Sales,0,2.073972603,2-3,0,0,Missing,Other,0,0,USA,Other,0,0,Men,0,0,0,1,1,1,0,0,Management,High,0,No Change,Marketing/Sales,2.457534247,0,0,0,0,0,17,14.51780822,7,2,9,1,0,Americas,0,0,Other,2012,183528,0.704845584
0,0,37,Computers,0,0.328767123,0-1,0,1,Other,Other,0,0,USA,Other,0,0,Men,0,0,0,0,1,1,0,0,IC,High,0,No Change,IT,2.002739726,0,0,0,0,0,2,0.328767123,1,1,2,1,0,Americas,0,0,Other,2012,186113,0.708186447
0,0,36,Computers,0,1.668493151,1-2,0,1,Other,Other,0,0,USA,Other,0,0,Men,0,0,0,0,1,1,0,0,IC,High,0,No Change,IT,1.002739726,0,0,0,0,0,11,10.0109589,6,1,7,1,0,Americas,0,0,Other,2012,190643,0.691482130
0,0,42,Other,0,3.402191781,3-4,0,0,Other,Other,0,0,USA,Other,0,0,Men,0,0,0,0,1,1,0,1,Management,High,0,No Change,Other,1.002739726,0,0,0,0,0,18,17.0109589,5,1,6,1,0,Americas,0,0,Other,2012,11341,0.615477488
0,0,28,Computers,0,1.568767123,1-2,0,1,Masters,Other,0,0,India,Other,0,0,Men,1,0,0,0,1,1,0,0,IC,High,0,No Change,IT,1.334246575,0,0,0,0,0,9,7.843835616,5,1,6,0,0,India,0,0,Other,2013,11410,0.599608387
0,0,45,Other,0,4.186986301,4-5,0,0,Missing,Other,0,0,India,Other,0,0,Men,1,0,0,0,1,1,0,1,Management,High,0,No Change,Other,1.084931507,0,0,0,0,0,18,16.74794521,4,1,5,0,0,India,0,0,Other,2013,185891,0.587080150
0,0,22,Computers,0,1.666666667,1-2,0,1,Masters,Business,0,0,Other,Other,0,0,Men,0,0,0,0,1,1,1,0,IC,High,0,No Change,IT,1.419178082,0,0,0,0,0,6,5,3,1,4,0,0,EMEA,0,0,Other,2013,186257,0.549495437
0,0,23,Marketing/Sales,0,2.134794521,2-3,0,0,Masters,Business,0,0,Other,Other,0,0,Men,0,0,0,1,1,1,1,0,Management,High,0,No Change,Marketing/Sales,1.082191781,0,0,0,0,0,12,10.6739726,5,1,6,0,0,APAC,0,0,Other,2013,185949,0.552001084
0,0,24,Other,0,0.917808219,0-1,0,0,Masters,Business,0,0,Other,Other,0,0,Men,0,0,0,0,1,1,1,1,Management,High,0,No Change,Other,2.665753425,0,0,0,0,0,4,0.917808219,1,1,2,0,0,APAC,0,0,Other,2013,186056,0.526944609
0,0,45,Engineer-Other,0,7.338356164,7-8,0,0,Masters,Computers,0,0,Other,Other,1,0,Men,0,0,0,0,1,1,1,0,IC,High,0,No Change,Engineer,0.876712329,0,0,0,0,0,16,14.67671233,2,1,3,0,0,APAC,0,0,Other,2013,181445,0.734913354
0,1,32,Accounting/Finance,0,1.019863014,1-2,0,0,Missing,Other,0,0,Other,Other,0,0,Men,0,0,0,0,1,1,1,0,IC,High,0,No Change,Finance,0.246575342,0,0,0,0,0,4,4.079452055,4,1,5,0,0,EMEA,0,0,Other,2013,170136,0.725725980
0,0,23,Computers,0,1.104794521,1-2,0,1,Missing,Other,0,0,Other,Other,0,0,Men,0,0,0,0,1,1,1,0,IC,High,0,No Change,IT,0.416438356,0,0,0,0,0,5,4.419178082,4,1,5,0,0,Unknown,0,0,Other,2013,11613,0.678118677
0,0,26,Other,0,1.642009132,1-2,0,0,Missing,Other,0,0,Other,Other,0,0,Men,0,0,0,0,1,1,1,1,IC,High,0,No Change,Other,0.334246575,0,0,0,0,0,5,4.926027397,3,1,4,0,0,Unknown,0,0,Other,2013,182538,0.673107382
0,0,49,Other,0,3.535890411,3-4,0,0,Missing,Other,0,0,Other,Other,0,0,Men,0,0,0,0,1,1,1,1,IC,High,0,No Change,Other,3.416438356,0,0,0,0,0,21,17.67945205,5,1,6,0,0,Unknown,0,0,Other,2013,11713,0.507734645
0,0,49,Other,0,3.535890411,3-4,0,0,Missing,Other,0,0,Other,Other,0,0,Men,0,0,0,0,1,1,1,1,IC,High,0,No Change,Other,3.416438356,0,0,0,0,0,21,17.67945205,5,1,6,0,0,Unknown,0,0,Other,2013,11713,0.508569861
0,0,41,Marketing/Sales,0,2.917808219,2-3,0,0,Missing,Other,0,0,Other,Other,0,0,Men,0,0,0,1,1,1,1,0,Management,High,0,No Change,Marketing/Sales,2,0,0,0,0,0,17,14.5890411,5,1,6,0,0,APAC,0,0,Other,2013,183830,0.571211049
0,0,41,Marketing/Sales,0,2.917808219,2-3,0,0,Missing,Other,0,0,Other,Other,0,0,Men,0,0,0,1,1,1,1,0,Management,High,0,No Change,Marketing/Sales,2,0,0,0,0,0,17,14.5890411,5,1,6,0,0,APAC,0,0,Other,2013,183830,0.572046265
0,0,32,Marketing/Sales,0,2.083287671,2-3,0,0,Missing,Other,0,0,Other,Other,0,0,Men,0,0,0,1,1,1,1,0,Management,High,0,No Change,Marketing/Sales,2.41369863,0,0,0,0,0,13,10.41643836,5,1,6,0,0,Unknown,0,0,Other,2013,185985,0.531955904
0,0,32,Marketing/Sales,0,2.083287671,2-3,0,0,Missing,Other,0,0,Other,Other,0,0,Men,0,0,0,1,1,1,1,0,Management,High,0,No Change,Marketing/Sales,2.41369863,0,0,0,0,0,13,10.41643836,5,1,6,0,0,Unknown,0,0,Other,2013,185985,0.532791120
0,0,35,Computers,0,0.252054795,0-1,1,1,Bachelors,Computers,0,0,USA,Other,0,0,Men,0,0,0,0,1,1,0,0,IC,High,0,No Change,IT,0.167123288,0,0,0,0,0,0,0.252054795,1,1,2,1,0,Americas,0,0,California State University,2013,181624,0.729902059
0,0,40,Marketing/Sales,0,2.06183953,2-3,0,0,Bachelors,Computers,0,0,USA,Other,0,0,Men,0,0,0,1,1,1,0,0,Management,High,0,No Change,Marketing/Sales,1.832876712,0,0,0,0,0,16,14.43287671,7,1,8,1,0,Americas,0,0,Other,2013,189663,0.623829647
0,0,60,Engineer-Software,0,1.404109589,1-2,0,0,Bachelors,Engineering,0,0,USA,Software,1,0,Men,0,0,0,0,1,0,0,0,IC,High,0,No Change,Engineer,0,0,1,0,0,0,8,8.424657534,6,1,6,1,0,Americas,0,0,Other,2013,184357,0.768482373
0,0,29,Engineer-Software,0,1.157191781,1-2,0,0,Bachelors,Engineering,0,0,USA,Software,1,0,Men,0,0,0,0,1,0,0,0,IC,High,0,No Change,Engineer,0,0,1,0,0,0,9,9.257534247,8,1,8,1,0,Americas,0,0,Other,2013,11456,0.737975812
0,0,31,Other,0,1.297716895,1-2,0,0,Bachelors,Engineering,0,0,USA,Other,0,0,Men,0,0,0,0,1,1,0,1,IC,High,1,No Change,Other,0.419178082,0,0,0,0,0,12,11.67945205,9,1,10,1,0,Americas,0,0,San Jose State University,2013,11292,0.715703390
0,0,29,Marketing/Sales,0,1.45260274,1-2,0,0,Bachelors,Engineering,0,0,USA,Other,0,0,Men,0,0,0,1,1,1,0,0,Management,High,0,No Change,Marketing/Sales,1.082191781,0,0,0,0,0,8,7.263013699,5,1,6,1,0,Americas,1,0,University of California,2013,183862,0.638863532
0,0,46,Other,0,2.765296804,2-3,0,0,Bachelors,Other,0,0,USA,Other,0,0,Men,0,0,0,0,1,1,0,1,Director,High,0,No Change,Other,2.917808219,0,0,0,0,0,20,16.59178082,6,1,7,1,0,Americas,0,0,Other,2013,181637,0.544484142
0,0,32,Engineer-Firmware,0,6.504109589,6-7,0,0,Bachelors,Other,0,0,USA,Firmware,1,1,Men,0,0,0,0,1,0,0,0,IC,High,1,No Change,Engineer,0,0,0,0,0,0,13,13.00821918,2,1,2,1,0,Americas,0,0,San Jose State University,2013,181433,0.731572491
0,0,25,Marketing/Sales,0,0.29109589,0-1,0,0,Bachelors,Other,0,0,USA,Other,0,0,Men,0,0,0,1,1,1,0,0,IC,High,1,No Change,Marketing/Sales,1,0,0,0,0,0,2,1.164383562,4,1,5,1,0,Americas,0,0,San Jose State University,2013,183948,0.696493425
0,0,25,Marketing/Sales,0,0.29109589,0-1,0,0,Bachelors,Other,0,0,USA,Other,0,0,Men,0,0,0,1,1,1,0,0,IC,High,1,No Change,Marketing/Sales,1,0,0,0,0,0,2,1.164383562,4,1,5,1,0,Americas,0,0,San Jose State University,2013,183948,0.697328641
0,0,62,Marketing/Sales,0,5.037808219,4-5,0,0,Bachelors,Other,0,0,USA,Other,0,0,Men,0,0,0,1,1,1,0,0,IC,High,0,No Change,Marketing/Sales,0.832876712,0,0,0,0,0,26,25.1890411,5,1,6,1,0,Americas,0,0,Other,2013,11072,0.686470835
0,0,32,Marketing/Sales,0,2.368219178,2-3,0,0,Bachelors,Other,0,0,USA,Other,0,0,Men,0,0,0,1,1,1,0,0,IC,High,0,No Change,Marketing/Sales,0.252054795,0,0,0,0,0,12,11.84109589,5,1,6,1,0,Americas,1,0,University of California,2013,11678,0.678953892
0,0,33,Other,0,4.252968037,4-5,0,0,Bachelors,Other,0,0,USA,Other,0,0,Men,0,0,0,0,1,1,0,1,IC,High,0,No Change,Other,0.580821918,0,0,0,0,0,13,12.75890411,3,1,4,1,0,Americas,1,0,University of California,2013,11517,0.541143278
0,0,33,Other,0,4.252968037,4-5,0,0,Bachelors,Other,0,0,USA,Other,0,0,Men,0,0,0,0,1,1,0,1,IC,High,0,No Change,Other,0.580821918,0,0,0,0,0,13,12.75890411,3,1,4,1,0,Americas,1,0,University of California,2013,11517,0.541978494
0,0,28,Other,0,0.676407915,0-1,0,0,Bachelors,Other,0,0,USA,Other,0,0,Men,0,0,0,0,1,1,0,1,IC,High,0,No Change,Other,1,0,0,0,0,0,7,6.087671233,9,1,10,1,0,Americas,0,0,Other,2013,11267,0.694822993
0,0,28,Other,0,0.676407915,0-1,0,0,Bachelors,Other,0,0,USA,Other,0,0,Men,0,0,0,0,1,1,0,1,IC,High,0,No Change,Other,1,0,0,0,0,0,7,6.087671233,9,1,10,1,0,Americas,0,0,Other,2013,11267,0.695658209
0,0,36,Marketing/Sales,0,1.389954338,1-2,0,0,Bachelors,Other,0,0,USA,Other,0,0,Men,0,0,0,1,1,1,0,0,Management,High,0,No Change,Marketing/Sales,2.506849315,0,0,0,0,0,7,4.169863014,3,1,4,1,0,Americas,1,0,University of California,2013,183758,0.585409718
0,0,42,Other,0,3.335616438,3-4,0,0,Doctorate,Other,0,0,USA,Other,0,0,Men,0,0,0,0,1,1,0,1,VP,High,0,No Change,Other,1.665753425,0,0,1,0,0,22,20.01369863,6,1,7,1,0,Americas,0,0,Stanford University,2013,10954,0.575387128
0,0,56,Other,0,3.736438356,3-4,0,0,Masters,Business,0,0,USA,Other,0,0,Men,0,0,0,0,1,1,0,1,Director,High,0,No Change,Other,4.002739726,0,0,0,0,0,23,18.68219178,5,1,6,1,0,Americas,0,0,Other,2013,11234,0.501052918
0,1,30,Accounting/Finance,0,2.067945205,2-3,0,0,Masters,Business,0,0,USA,Other,0,0,Men,0,0,0,0,1,1,0,0,IC,High,0,No Change,Finance,1.002739726,0,0,0,0,0,11,10.33972603,5,1,6,1,0,Americas,0,0,Other,2013,11618,0.609630978
0,0,26,Computers,0,0.917808219,0-1,0,1,Masters,Computers,0,0,USA,Other,0,0,Men,0,0,0,0,1,1,0,0,IC,High,0,No Change,IT,1.580821918,0,0,0,0,0,5,3.671232877,4,1,5,1,0,Americas,0,0,Other,2013,181593,0.607125330
0,0,37,Marketing/Sales,1,2.485479452,2-3,0,0,Masters,Engineering,0,0,USA,Other,0,0,Men,0,0,0,1,1,1,0,0,Director,High,0,No Change,Marketing/Sales,2.416438356,0,0,0,0,0,15,12.42739726,5,1,6,1,0,Americas,0,0,Arizona State University,2013,183776,0.540308063
0,0,24,Marketing/Sales,0,0.665753425,0-1,0,0,Masters,Engineering,0,0,USA,Other,0,0,Men,0,0,0,1,1,1,0,0,IC,High,0,No Change,Marketing/Sales,2.084931507,0,0,0,0,0,3,0.665753425,1,1,2,1,0,Americas,1,0,University of California,2013,182965,0.578727991
0,0,26,Other,0,1.307762557,1-2,0,0,Masters,Engineering,0,0,USA,Other,0,0,Men,0,0,0,0,1,1,0,1,IC,High,0,No Change,Other,1.917808219,0,0,0,0,0,6,3.923287671,3,1,4,1,0,Americas,0,0,Other,2013,183000,0.557012379
0,0,24,Marketing/Sales,0,0.31369863,0-1,0,0,Masters,Engineering,0,0,USA,Other,0,0,Men,0,0,0,1,1,1,0,0,Management,High,0,No Change,Marketing/Sales,1.084931507,0,0,0,0,0,2,1.254794521,4,1,5,1,0,Americas,1,0,University of California,2013,181576,0.682294756
0,0,24,Marketing/Sales,0,0.62739726,0-1,0,0,Masters,Engineering,0,0,USA,Other,0,0,Men,0,0,0,1,1,1,0,0,Management,High,0,No Change,Marketing/Sales,2.542465753,0,0,0,0,0,4,1.254794521,2,3,5,1,0,Americas,1,0,University of California,2013,181576,0.680624324
0,0,54,Engineer-Director-VP-Mgmt,0,8.77260274,8+,0,0,Masters,Engineering,0,1,USA,Director-VP-Mgmt,1,0,Men,0,0,0,0,1,0,0,0,VP,High,0,No Change,Engineer,0,0,0,0,0,0,44,43.8630137,5,1,5,1,0,Americas,0,0,Other,2013,190577,0.734078138
